basin,NSE,KGE,RMSE,Pearson-r,FHV,FLV
camelsbr_21500000,0.9575985289405506,0.9575753430441397,0.15159147934283526,0.9786961674690247,-1.694822,-41.01175
camelsbr_33025000,0.9367227367733656,0.9475338617458874,0.10560866629555613,0.9678913354873657,-2.5654094,-1454.741
camelsbr_33250000,0.7860135204033631,0.8262755421887541,0.07496027005918746,0.8898506760597229,-13.759878,-43.188717
camelsbr_33260000,0.8429548909947064,0.8809296260735613,0.06269272504797158,0.9234683513641357,-5.045902,-443.80304
camelsbr_33281000,0.9115058900396318,0.9230636276174524,0.08072718558905796,0.9550238251686096,-4.062432,-514.3019
camelsbr_33321000,0.9169116794397195,0.929395649230623,0.2524385876378323,0.9576632976531982,-5.3088183,-1351.1558
camelsbr_33330000,0.9788472546922414,0.9630159717465974,0.13101480988741987,0.9895287156105042,-1.4130471,-2402.1228
camelsbr_33460000,0.7521027785607489,0.8186555277611831,0.03955423081036609,0.8686442375183105,-4.766824,-68.37452
camelsbr_40330000,0.9692847893810452,0.9680769618089207,0.20766870858827519,0.9846031069755554,-1.6493129,20.738888
camelsbr_40822995,0.9106493329236648,0.9142817368848223,0.3825601212929729,0.9546815156936646,-7.0326967,12.694025
camelsbr_40823500,0.9526880679758583,0.9344651486737792,0.48039620324737964,0.976749837398529,-5.040992,32.976387
camelsbr_41050000,0.9562766169986389,0.9493531979679651,0.49493078150032693,0.9781846404075623,-3.606603,17.115433
camelsbr_41135000,0.9457519454904851,0.9539324149151235,0.183734869999044,0.9725735783576965,-1.538674,-5.4777317
camelsbr_41380000,0.9532859261812963,0.9467390948629262,0.4577845210095815,0.9766690731048584,-4.2861056,45.484276
camelsbr_41440005,0.9135757713253936,0.9268784004533777,0.3166245190382963,0.9559198021888733,-4.3187184,-9.87953
camelsbr_41650002,0.9592355348481376,0.9658590023503185,0.20641111669932208,0.979476809501648,-1.7182509,18.854029
camelsbr_41818000,0.9673559997416573,0.9631386902923933,0.2044291718896651,0.983718991279602,-1.7779365,-8.46254
camelsbr_41990000,0.9761403681673727,0.9760836151242795,0.16405015285896696,0.9880368709564209,-1.7987105,-81.69566
camelsbr_42210000,0.9686818148338489,0.9704153394722091,0.10318107344845481,0.9842720031738281,-0.61223245,5.1296177
camelsbr_43200000,0.9788017024128939,0.9743148057871273,0.08900286723491646,0.9894275665283203,-1.1750828,7.5375395
camelsbr_43670000,0.9648820427042677,0.9658009540679305,0.16095353180930466,0.9823538064956665,-1.0775223,-1030.8717
camelsbr_43880000,0.9631464990169396,0.9659664324798167,0.14658959106835023,0.9814735651016235,-0.2710918,-1408.8912
camelsbr_44200000,0.9813442447138087,0.9707092538592498,0.08576208331300572,0.9908475875854492,-2.7228997,-9.327226
camelsbr_44290002,0.982083923106285,0.9797879795936932,0.0791887756217062,0.9912384748458862,0.04830429,-34.160526
