basin,NSE,KGE,RMSE,Pearson-r,FHV,FLV
camelsaus_108002A,0.9865223943885071,0.9742403858099844,0.9860271636768926,0.993389904499054,-2.3351955,-304.39825
camelsaus_108003A,0.9862569721116795,0.9622369237501609,1.7793379442853892,0.9935315251350403,-2.1067965,-579.55835
camelsaus_116006B,0.9829234030969418,0.9743320108702197,0.5371239400102589,0.9915356040000916,-2.7682133,
camelsaus_122004A,0.9885145776917901,0.9638593924985568,1.552943185645179,0.9946763515472412,-2.313468,
camelsbr_21500000,0.8660439727558688,0.8816740798063487,0.26944214273946593,0.931045413017273,-7.007232,-19.132402
camelsbr_33025000,0.6829136431559125,0.7371514465880502,0.23640938614947876,0.8280038833618164,-16.83272,-1486.6155
camelsbr_33205000,0.6600493231674853,0.7254191096384413,0.266562448503818,0.8137469291687012,-27.96555,-148.35208
camelsbr_33250000,0.6774568111317458,0.7531262443232576,0.09203053219941136,0.8303235769271851,-15.891282,-257.13968
camelsbr_33260000,0.7422842158300729,0.8081866194366834,0.0803110439496953,0.8657531142234802,-10.0563545,-564.9351
camelsbr_33281000,0.7828817036594842,0.8526306333283002,0.12644762489012204,0.8891459107398987,-9.3462,-163.79622
camelsbr_33286000,0.8471852413242302,0.8644778598652544,0.12481051477669096,0.9210101962089539,-9.920129,-94.547554
camelsbr_33290000,0.8489548482551518,0.8552105260619653,0.1300919075843894,0.9229410290718079,-10.237067,-170.4313
camelsbr_33321000,0.6870952932159308,0.7415302152111707,0.48988229335291705,0.8294262290000916,-23.655134,-1309.807
camelsbr_33330000,0.8021254410341223,0.8351202202956678,0.4007111731643431,0.8959314227104187,-10.226628,-2233.8528
camelsbr_33380000,0.8926167716952835,0.8961379080529402,0.22037261927200985,0.9454857110977173,-6.8091035,-949.84576
camelsbr_33460000,0.5001128643067543,0.7411405647676775,0.05616853936535142,0.8142560720443726,15.484574,-122.70392
camelsbr_33480000,0.515906469842444,0.7308367720066719,0.0713909740197343,0.8139382600784302,7.2957263,-184.37425
camelsbr_33520000,0.5990262315215702,0.5743902379738088,0.12691751127291795,0.7851133346557617,-30.413965,-2297.273
camelsbr_33550000,0.7161623770224776,0.81514354982067,0.06738972973908819,0.8498364090919495,-8.675424,-4871.6816
camelsbr_33630000,0.8036551270694628,0.8478226260245512,0.17806179154878743,0.8966418504714966,-12.245441,-3924.244
camelsbr_33680000,0.8234728054338312,0.8349435708466517,0.22480859628787297,0.9086241722106934,-19.64663,-3084.6824
camelsbr_40330000,0.8691552914407178,0.8978950880557864,0.4286195835807016,0.9325128793716431,-7.074809,0.1953004
camelsbr_40822995,0.6923511556806903,0.8000652218159315,0.7098684552390243,0.8515922427177429,-0.8510344,-967.5151
camelsbr_40823500,0.8130685064473341,0.7656968768275558,0.9548935663121383,0.9082497954368591,-19.106033,-1335.8568
camelsbr_41050000,0.8097758027502844,0.8481079034077839,1.0323330365054186,0.8999963998794556,-10.07291,18.32988
camelsbr_41135000,0.7798408932867986,0.8370458551924876,0.37014140349307906,0.8834656476974487,-6.7640543,64.631325
camelsbr_41380000,0.8062650840683445,0.8358874774176241,0.9322675279159772,0.8983332514762878,-15.320921,-4.5976386
camelsbr_41440005,0.7165018985661735,0.7700113396705707,0.5734583432517864,0.8466829061508179,-17.10281,50.67096
camelsbr_41650002,0.8381930528038237,0.881611585253755,0.4112353706656534,0.9156506657600403,-8.254895,-5.144427
camelsbr_41818000,0.8861790053982741,0.879714132105104,0.381726534651249,0.9426187872886658,-9.235642,6.2433257
camelsbr_41990000,0.8952054826743694,0.9231153686731343,0.343806489724455,0.9461884498596191,-8.988684,-101.967445
camelsbr_42100000,0.8451896912012339,0.8706842418613807,1.150640023468586,0.9195419549942017,-18.84648,-991.02563
camelsbr_42210000,0.8967659081866117,0.9048032286332544,0.1873327443069342,0.9474433064460754,-2.6187909,72.4862
camelsbr_42490000,0.6458480604820506,0.7118485498572018,0.5548869566878474,0.8039059042930603,-16.488373,11.10455
camelsbr_42546000,0.5365903370165037,0.6097829537802146,1.3648861507823549,0.7327376008033752,-29.49335,-1233.129
camelsbr_43200000,0.9284603894956092,0.9276186251624122,0.16350343795502606,0.9639717936515808,-3.9814255,66.15666
camelsbr_43670000,0.8850179145792465,0.886726157043857,0.29123999120025923,0.9415894150733948,-5.3053775,-129.9608
camelsbr_43880000,0.8878758850658892,0.9032414366294744,0.2556897248866244,0.9427242279052734,0.87323624,-18.93735
camelsbr_44200000,0.9349996117174831,0.9134189167142945,0.1600838590631022,0.96817946434021,-7.4307666,66.52358
camelsbr_44250000,0.6972726721353506,0.7443943980949741,0.1423986232545185,0.8362510204315186,-32.227432,-4254.6294
camelsbr_44290002,0.9375555936205752,0.9362962810683724,0.1478388094220658,0.9689626693725586,-0.83248216,58.72561
camelsbr_44500000,0.9308102042268662,0.9009687536712565,0.14926538362845918,0.9666575193405151,-4.9941907,61.905735
camelsbr_45131000,0.774976503211893,0.7752102131357635,0.1350279411236269,0.8835944533348083,-17.290066,-62.818855
camelsbr_45170001,0.6485372919691339,0.8380033191494308,0.10402627265667827,0.8445759415626526,-10.138467,-42.053226
camelsbr_45210000,0.7645438635077274,0.7906384366478156,0.10601513232100497,0.8797290921211243,-18.536142,0.6840595
camelsbr_45260000,0.7776322128683125,0.7674759592303632,0.09632583848261342,0.8937609791755676,-17.581089,1.7935538
camelsbr_45298000,0.9297475871279164,0.9174704599851393,0.12130940369639802,0.9652494788169861,-6.8861766,16.817465
camelsbr_45480000,0.9214966732899056,0.9085571184741709,0.11722683246483585,0.9609642624855042,-5.150053,20.188389
camelsbr_45590000,0.7775845996530399,0.8957561753275074,0.05237035813437028,0.8987878561019897,-10.084239,-64.644585
camelsbr_45840000,0.6778543320512731,0.8346477574707885,0.09115079003434763,0.8549298644065857,1.5742342,-48.049713
camelsbr_45880000,0.7625059125205729,0.8740269988984564,0.06799735530625957,0.888525128364563,-10.139267,-49.0846
camelsbr_45910001,0.8064362221098639,0.8348095558743417,0.055912933815787574,0.901423454284668,-17.694372,-73.9864
camelsbr_45960001,0.7560120352351829,0.6842543161451033,0.07352570020813404,0.8892164826393127,-25.435152,-87.34001
camelsbr_46035000,0.9234316832147987,0.9254898124421345,0.10189199643001111,0.9629889726638794,-4.063491,-3.775105
camelsbr_46105000,0.9220314985036491,0.8988981631792532,0.10160291766179938,0.9622400999069214,-10.378865,-26.181156
camelsbr_46360000,0.8922411267239532,0.9167981212482752,0.10438466556275545,0.9450563192367554,-8.753405,-36.994095
camelsbr_46455000,0.9613414911034576,0.8940166692370192,0.1756442860962497,0.9845796823501587,-5.6283183,
camelsbr_46570000,0.7079225265680356,0.7782918763357561,0.11763134588302832,0.8434057831764221,-22.246023,-1216.6571
camelsbr_46610000,0.8227164286367548,0.8767865156809092,0.05396184835635858,0.9071297645568848,-7.0376344,
camelsbr_46650000,0.8075829654963855,0.8861613079141506,0.055784928707425095,0.9185632467269897,-5.272987,
camelsbr_46902000,0.7828565104628978,0.8141611029472388,0.062000812487580485,0.8988655209541321,-13.80309,-5528.817
camelsbr_54110002,0.7221612534491901,0.7613564123266818,0.3929092756582815,0.8506068587303162,-23.677858,
